page_id,word_count,content_age_days,days_since_update,monthly_traffic,search_volume,avg_position,ctr,engagement_rate,bounce_rate,backlinks,content_quality,refresh_score,priority
PAGE_0026,1715,1107,565,45342,13126,16.08,0.0975,0.783,0.533,379,0.258,0.5774309206987327,Medium
PAGE_0027,1455,790,256,36535,68409,12.82,0.2125,0.863,0.119,966,0.57,0.3003533299874808,Low
PAGE_0028,2824,1292,183,28347,46027,12.44,0.0568,0.54,0.164,80,0.441,0.4782474471192339,Medium
PAGE_0029,1684,1282,834,22457,75514,4.34,0.2084,0.487,0.434,704,0.69,0.5135123937827374,Medium
PAGE_0030,959,608,771,41145,57635,10.17,0.145,0.126,0.854,548,0.234,0.7109240379826484,High
PAGE_0031,3885,1104,498,27791,43046,28.22,0.1929,0.847,0.677,376,0.297,0.5115834675251716,Medium
PAGE_0032,521,1036,851,12524,56661,15.28,0.1813,0.111,0.171,837,0.892,0.5143636893032786,Medium
PAGE_0033,2800,1317,434,18952,10477,21.45,0.0598,0.903,0.777,153,0.653,0.5438076553643671,Medium
PAGE_0034,1247,1471,231,22701,53692,19.47,0.1465,0.516,0.686,641,0.77,0.5650203212896286,Medium
PAGE_0035,3404,125,67,18120,7447,43.92,0.2183,0.391,0.589,570,0.874,0.2630989392832184,Low
PAGE_0036,974,1141,801,8255,33876,45.36,0.1137,0.886,0.756,735,0.571,0.5610941178594228,Medium
PAGE_0037,1582,1131,217,3683,3883,25.15,0.242,0.121,0.423,760,0.809,0.3921626298445866,Medium
PAGE_0038,3058,1341,86,15615,55898,17.18,0.1185,0.594,0.277,239,0.62,0.4275047229366005,Medium
PAGE_0039,2547,1173,49,36877,4398,6.23,0.0443,0.567,0.51,373,0.378,0.5397511696391499,Medium
PAGE_0040,3247,843,302,19810,70304,47.72,0.1035,0.286,0.539,900,0.47,0.5110239697599256,Medium
PAGE_0041,1475,520,148,43278,86307,3.95,0.2384,0.465,0.531,804,0.592,0.3250938219768625,Low
PAGE_0042,2306,481,612,24632,55261,15.58,0.0867,0.654,0.552,798,0.454,0.5181498689802385,Medium
PAGE_0043,689,194,545,18701,60752,15.61,0.2183,0.718,0.859,203,0.468,0.421005830050858,Medium
PAGE_0044,3505,211,250,5067,34584,16.7,0.2215,0.101,0.822,610,0.47,0.3665848023189112,Medium
PAGE_0045,3234,498,555,18853,98714,9.05,0.094,0.896,0.801,349,0.298,0.5310325744874252,Medium
PAGE_0046,3505,939,544,20122,21022,39.37,0.03,0.24,0.741,687,0.268,0.6610530996006784,High
PAGE_0047,1062,764,757,43563,34128,7.0,0.1839,0.299,0.855,773,0.237,0.6490069344438604,Medium
PAGE_0048,2399,852,770,9235,20416,32.11,0.0848,0.324,0.179,782,0.289,0.6036886597038561,Medium
PAGE_0049,1767,973,365,5822,77096,7.07,0.1979,0.132,0.312,142,0.475,0.46549245746843887,Medium
PAGE_0050,3379,36,727,27513,17068,4.46,0.1162,0.205,0.496,188,0.675,0.514330571675592,Medium
PAGE_0051,2028,359,84,27336,30366,45.56,0.1265,0.938,0.777,271,0.351,0.3301140575364307,Low
PAGE_0052,3702,804,529,15614,95845,10.32,0.1967,0.368,0.504,531,0.91,0.42494744887393165,Medium
PAGE_0053,1146,180,795,43996,24100,41.24,0.1018,0.198,0.698,844,0.847,0.5638986918567623,Medium
PAGE_0054,2568,1138,565,37312,14111,27.69,0.1164,0.191,0.211,299,0.616,0.551503876709199,Medium
PAGE_0055,3388,176,191,40486,2966,4.81,0.1003,0.712,0.302,425,0.779,0.2546258113905483,Low
PAGE_0056,2714,1434,699,20431,5998,47.82,0.0982,0.826,0.685,45,0.493,0.6344686700117543,Medium
PAGE_0057,1797,944,623,18160,18495,13.1,0.1362,0.318,0.232,94,0.229,0.6015561867282441,Medium
PAGE_0058,2935,1338,188,1296,39119,43.12,0.2041,0.118,0.381,929,0.923,0.49210700592160395,Medium
PAGE_0059,1100,729,217,12397,4106,9.27,0.0968,0.29,0.312,63,0.302,0.4672585742840875,Medium
PAGE_0060,2863,111,89,2887,34493,42.84,0.1358,0.148,0.38,412,0.958,0.26854531881379506,Low
PAGE_0061,2561,543,846,23916,11056,1.65,0.171,0.188,0.667,642,0.658,0.572659937852204,Medium
PAGE_0062,741,844,348,40795,50142,26.08,0.0747,0.467,0.394,8,0.444,0.524400886204682,Medium
PAGE_0063,2541,738,240,19802,96299,38.7,0.0766,0.295,0.544,458,0.596,0.4806159334134125,Medium
PAGE_0064,3324,775,435,25342,6178,46.8,0.234,0.539,0.18,714,0.601,0.38625690103658467,Medium
PAGE_0065,3917,1052,693,2276,29731,45.55,0.1836,0.315,0.744,408,0.219,0.6380883341230899,Medium
PAGE_0066,3112,1439,138,20227,95776,41.16,0.1485,0.899,0.396,469,0.484,0.3783576956484545,Medium
PAGE_0067,3445,736,105,41660,63001,44.52,0.1655,0.87,0.619,809,0.792,0.33166992510163695,Low
PAGE_0068,1863,500,571,27328,69597,10.76,0.017,0.582,0.68,505,0.608,0.5762832397499429,Medium
PAGE_0069,2639,1172,343,20308,94913,14.93,0.1583,0.401,0.268,685,0.395,0.5396484079578717,Medium
PAGE_0070,1890,425,146,28582,41674,15.16,0.1323,0.424,0.808,72,0.468,0.3873741171963974,Medium
PAGE_0071,3503,290,897,9271,31517,19.48,0.141,0.45,0.593,83,0.89,0.4713815484543144,Medium
PAGE_0072,1978,834,733,35319,88120,20.27,0.0963,0.718,0.443,58,0.62,0.5245271438429268,Medium
PAGE_0073,3999,963,48,33496,83739,27.68,0.0296,0.484,0.246,20,0.623,0.4948654118692032,Medium
PAGE_0074,3056,1309,461,42689,65106,8.83,0.0564,0.828,0.854,457,0.969,0.546911735928406,Medium
PAGE_0075,1275,934,714,40646,94981,34.87,0.2382,0.902,0.704,917,0.457,0.45163449935923616,Medium
PAGE_0076,534,1279,769,3796,39554,9.21,0.1081,0.386,0.266,156,0.584,0.629864436164866,Medium
PAGE_0077,2753,1106,379,20158,1687,16.21,0.122,0.577,0.37,830,0.849,0.48937257566277226,Medium
PAGE_0078,3652,969,212,20413,54810,25.66,0.0227,0.181,0.748,328,0.807,0.6095902793999362,Medium
PAGE_0079,2455,883,142,19249,86667,40.03,0.019,0.27,0.657,572,0.413,0.6008428338187228,Medium
PAGE_0080,2085,1417,212,45840,91848,37.23,0.1821,0.451,0.713,575,0.321,0.5758134154576894,Medium
PAGE_0081,3959,1333,510,41175,75986,32.63,0.1391,0.275,0.453,836,0.761,0.50212409738314,Medium
PAGE_0082,3573,622,175,5056,18916,8.63,0.1321,0.845,0.673,679,0.406,0.4066322158738336,Medium
PAGE_0083,1521,743,860,10295,85924,27.81,0.0683,0.235,0.409,202,0.938,0.5899419856537299,Medium
PAGE_0084,3961,1211,657,17176,29532,5.28,0.1887,0.487,0.269,640,0.303,0.5612993764391339,Medium
PAGE_0085,3113,661,142,1205,48717,19.49,0.0504,0.615,0.606,756,0.455,0.49106188551356983,Medium
PAGE_0086,1629,88,792,15517,72473,21.26,0.0556,0.688,0.881,105,0.244,0.5914433992501525,Medium
PAGE_0087,2000,157,505,24829,34317,2.95,0.1206,0.426,0.348,832,0.763,0.37358865940547153,Medium
PAGE_0088,1202,765,792,47056,20984,14.43,0.0787,0.839,0.469,121,0.913,0.5194999316495676,Medium
PAGE_0089,2949,750,332,30199,5554,47.83,0.0694,0.583,0.639,317,0.709,0.4717801163645073,Medium
PAGE_0090,3277,1168,854,32698,75060,47.73,0.1649,0.474,0.533,181,0.95,0.5648607332752847,Medium
PAGE_0091,2079,1262,147,30061,43718,18.26,0.1662,0.157,0.775,614,0.303,0.6253892717237898,Medium
PAGE_0092,661,555,842,12702,84048,3.11,0.2079,0.495,0.709,315,0.27,0.5476510485735144,Medium
PAGE_0093,701,550,190,9356,62771,9.78,0.1103,0.798,0.147,813,0.871,0.23749996559071446,Low
PAGE_0094,2481,581,430,20684,47211,20.22,0.0275,0.622,0.899,772,0.884,0.5562104268917479,Medium
PAGE_0095,1495,266,227,47080,39713,47.44,0.0757,0.807,0.702,624,0.865,0.32720975100051886,Low
PAGE_0096,2817,1334,289,34781,85778,7.92,0.2452,0.52,0.791,405,0.839,0.4805418618394719,Medium
PAGE_0097,1315,1412,689,25892,60093,38.41,0.1531,0.201,0.621,985,0.49,0.6357581468225695,Medium
PAGE_0098,3842,1254,781,22004,8948,6.33,0.1803,0.112,0.785,948,0.374,0.6523340077622954,High
PAGE_0099,955,1331,76,43461,78772,49.08,0.0118,0.358,0.19,69,0.943,0.48155245730591334,Medium
PAGE_0100,1775,1288,428,34640,66225,19.7,0.1344,0.693,0.378,159,0.446,0.5182288248907603,Medium
PAGE_0101,1516,523,739,26636,86544,38.99,0.019,0.772,0.801,239,0.519,0.610264498805477,Medium
PAGE_0102,2843,33,588,19264,61702,17.79,0.1466,0.351,0.261,522,0.76,0.4258479307449618,Medium
PAGE_0103,3267,695,107,13096,72145,31.76,0.231,0.521,0.163,137,0.435,0.2717741898470729,Low
PAGE_0104,837,471,153,2971,42322,10.41,0.2424,0.458,0.73,494,0.855,0.3150556368273929,Low
PAGE_0105,1378,58,104,46102,49323,8.16,0.1397,0.449,0.768,678,0.256,0.450798427011922,Medium
PAGE_0106,1576,1162,166,49912,65433,46.97,0.12,0.297,0.23,246,0.833,0.4020325188173225,Medium
PAGE_0107,1291,639,631,22726,52832,45.96,0.2368,0.216,0.783,865,0.681,0.4987004111490373,Medium
PAGE_0108,2764,834,429,10621,49520,44.49,0.1717,0.267,0.649,542,0.658,0.45909477721328534,Medium
PAGE_0109,1263,104,866,43510,75604,31.65,0.0256,0.147,0.516,523,0.567,0.6783865888861687,High
PAGE_0110,2735,867,534,1232,2562,40.61,0.1218,0.268,0.764,242,0.422,0.5561504514816324,Medium
PAGE_0111,879,1199,529,33567,9560,4.38,0.0677,0.108,0.435,619,0.571,0.6741597933015256,High
PAGE_0112,992,157,602,14634,99419,17.4,0.1228,0.633,0.255,335,0.56,0.3507371122877057,Medium
PAGE_0113,3612,71,167,23954,9375,16.37,0.1193,0.369,0.328,421,0.667,0.28727101080581685,Low
PAGE_0114,1680,1409,79,43098,94313,32.15,0.1497,0.927,0.504,834,0.425,0.47032084033891874,Medium
PAGE_0115,2562,70,800,39165,13369,18.44,0.0956,0.265,0.525,193,0.262,0.5571757981422777,Medium
PAGE_0116,564,963,648,45707,66042,8.28,0.0494,0.394,0.744,307,0.316,0.717413627136812,High
PAGE_0117,3068,63,654,7912,73020,30.23,0.1309,0.404,0.733,644,0.759,0.5020942808486831,Medium
PAGE_0118,1867,1070,891,4657,22653,40.9,0.2092,0.107,0.565,906,0.218,0.7071675762362374,High
PAGE_0119,1652,1206,283,2279,24466,19.72,0.1694,0.813,0.725,505,0.885,0.45277746436531385,Medium
PAGE_0120,2527,1027,659,43898,44136,7.48,0.0912,0.127,0.253,280,0.756,0.5865779736458583,Medium
PAGE_0121,3195,1431,739,9165,17469,10.64,0.2345,0.899,0.14,802,0.814,0.43218240478057873,Medium
PAGE_0122,1995,617,878,8375,11895,12.64,0.2289,0.858,0.799,674,0.869,0.43178990490263097,Medium
PAGE_0123,3634,371,592,47957,70121,15.69,0.0602,0.555,0.16,789,0.298,0.5488180052324161,Medium
PAGE_0124,1662,56,786,36048,68254,32.5,0.0195,0.562,0.297,932,0.858,0.4742686681567932,Medium
PAGE_0125,2022,1340,455,20800,30243,30.45,0.1879,0.656,0.656,981,0.604,0.542091936011358,Medium
PAGE_0126,3140,675,576,39564,29525,35.11,0.2086,0.429,0.428,438,0.908,0.4295988427423881,Medium
PAGE_0127,891,760,331,42451,88309,18.76,0.2423,0.65,0.801,714,0.909,0.3454901788353986,Low
PAGE_0128,2198,197,610,27894,75239,41.38,0.2236,0.138,0.338,607,0.219,0.5027413787977957,Medium
PAGE_0129,918,639,378,28883,5468,11.0,0.1541,0.146,0.109,482,0.506,0.49196642344475733,Medium
PAGE_0130,2836,297,861,17098,4721,23.98,0.1372,0.489,0.341,222,0.621,0.4418424046823203,Medium
PAGE_0131,878,850,78,13969,58929,40.25,0.0167,0.567,0.562,748,0.743,0.47469355071281727,Medium
PAGE_0132,2296,484,103,44625,60394,9.83,0.0692,0.855,0.401,116,0.429,0.365335924317236,Medium
PAGE_0133,2778,935,733,28252,14819,6.38,0.1203,0.189,0.528,967,0.402,0.6403500074642907,Medium
PAGE_0134,3565,1454,290,21054,29327,44.3,0.1608,0.799,0.801,191,0.505,0.5035834313977552,Medium
PAGE_0135,2588,951,385,31655,7666,17.8,0.1437,0.279,0.83,787,0.601,0.6001931454451949,Medium
PAGE_0136,3599,1010,611,16754,12406,34.51,0.1882,0.435,0.313,617,0.961,0.45131413433219314,Medium
PAGE_0137,2682,731,631,45126,53922,2.24,0.0771,0.369,0.47,993,0.81,0.5288649887838227,Medium
PAGE_0138,700,663,289,35336,24142,34.81,0.1456,0.44,0.539,515,0.543,0.46493368562721693,Medium
PAGE_0139,2363,159,667,47076,15186,16.49,0.0312,0.228,0.859,529,0.243,0.6550777985966486,High
PAGE_0140,1279,1049,772,15142,17487,3.73,0.1093,0.528,0.899,306,0.335,0.6801200705698099,High
PAGE_0141,3477,1416,324,26066,27142,30.88,0.19,0.781,0.288,963,0.565,0.44196856143836644,Medium
PAGE_0142,3604,848,670,48507,89524,12.8,0.1764,0.475,0.682,531,0.851,0.5086753766481,Medium
PAGE_0143,3619,722,821,44414,51718,19.95,0.2478,0.517,0.402,121,0.505,0.4338054725655602,Medium
PAGE_0144,1002,1345,342,45195,92150,4.95,0.0767,0.821,0.106,648,0.631,0.4385263354900551,Medium
PAGE_0145,2954,1424,641,14370,18423,8.21,0.1296,0.7,0.107,591,0.913,0.4407192610750789,Medium
PAGE_0146,2251,823,867,31008,18119,15.6,0.0891,0.517,0.468,153,0.931,0.502397931745329,Medium
PAGE_0147,1304,58,838,15623,75526,5.4,0.1157,0.319,0.491,869,0.373,0.5584165367432341,Medium
PAGE_0148,2646,178,211,47168,40963,45.63,0.2157,0.852,0.118,536,0.235,0.22578921432732496,Low
PAGE_0149,3231,1349,715,20091,10383,1.3,0.1742,0.59,0.65,451,0.444,0.6578777444211293,High
PAGE_0150,2395,40,857,10875,18379,24.71,0.2218,0.288,0.335,168,0.757,0.35133988828745955,Medium
PAGE_0151,3273,705,393,12365,47099,7.04,0.0588,0.329,0.548,58,0.961,0.4758207152883366,Medium
PAGE_0152,2070,1166,217,19559,62880,16.08,0.2196,0.783,0.341,300,0.262,0.3978510996105957,Medium
PAGE_0153,1460,216,598,16773,23008,46.38,0.0243,0.138,0.234,552,0.223,0.5307199486627877,Medium
PAGE_0154,3160,836,572,27156,61684,8.92,0.2233,0.943,0.426,549,0.907,0.34115038874322207,Low
PAGE_0155,1985,773,625,6714,50325,48.33,0.089,0.211,0.286,116,0.799,0.48523561916661756,Medium
PAGE_0156,3190,1280,693,36120,38052,11.08,0.0855,0.777,0.528,786,0.994,0.5435981418553353,Medium
PAGE_0157,1528,1363,577,7515,37763,37.34,0.1329,0.436,0.259,781,0.517,0.5977383183337591,Medium
PAGE_0158,3789,127,754,23255,61481,27.79,0.2358,0.518,0.507,126,0.533,0.4194354841786316,Medium
PAGE_0159,1002,84,437,49530,48029,44.34,0.0215,0.849,0.226,404,0.338,0.4130776159903872,Medium
PAGE_0160,3314,652,647,43984,9443,28.15,0.0945,0.451,0.637,398,0.293,0.6388981582633312,Medium
PAGE_0161,897,693,443,17064,76273,27.19,0.2156,0.557,0.703,514,0.663,0.4331315424106333,Medium
PAGE_0162,1370,787,371,37826,39891,10.58,0.1051,0.142,0.188,804,0.491,0.4827869484912221,Medium
PAGE_0163,3342,435,249,37144,29234,9.15,0.0578,0.102,0.474,884,0.264,0.5265847881786496,Medium
PAGE_0164,892,98,192,37644,47201,45.91,0.112,0.308,0.157,497,0.91,0.2617621098923866,Low
PAGE_0165,706,1365,249,32352,69543,17.06,0.1025,0.678,0.579,941,0.359,0.5258331722870253,Medium
PAGE_0166,1538,1342,299,3932,99211,19.23,0.2297,0.203,0.312,527,0.799,0.4775841168810485,Medium
PAGE_0167,2381,780,661,25375,57630,38.23,0.1929,0.197,0.522,397,0.426,0.5858059737493901,Medium
PAGE_0168,3439,1201,877,15001,46899,17.6,0.1312,0.449,0.514,264,0.85,0.558602125169797,Medium
PAGE_0169,1984,1297,429,38313,4927,47.65,0.2472,0.651,0.839,750,0.295,0.5291069327822066,Medium
PAGE_0170,1363,987,211,34248,96243,37.16,0.1217,0.705,0.539,262,0.805,0.3770593282424449,Medium
PAGE_0171,3290,394,647,42733,62753,30.27,0.024,0.252,0.566,397,0.278,0.6468314912837132,Medium
PAGE_0172,3812,511,758,23018,13799,44.16,0.0729,0.168,0.421,645,0.558,0.6293830631114784,Medium
PAGE_0173,1063,230,234,46794,91519,3.43,0.1147,0.899,0.859,724,0.787,0.3532422473669201,Medium
PAGE_0174,1520,183,611,19640,5413,13.6,0.0477,0.322,0.722,526,0.339,0.5696720039283779,Medium
PAGE_0175,595,102,585,11680,13698,23.79,0.2374,0.825,0.328,435,0.429,0.3026906509298434,Low
PAGE_0176,2423,742,870,38502,28907,12.12,0.194,0.834,0.775,839,0.892,0.44143112896961767,Medium
PAGE_0177,2257,325,842,38678,70523,37.45,0.0744,0.757,0.446,929,0.908,0.41346956894098924,Medium
PAGE_0178,3032,1070,257,25017,69490,46.04,0.1518,0.244,0.763,359,0.236,0.6265292692255185,Medium
PAGE_0179,3978,1270,725,22418,45326,21.76,0.1831,0.799,0.758,128,0.334,0.657657810538382,High
PAGE_0180,2778,90,648,10279,59650,17.76,0.2359,0.754,0.251,863,0.294,0.323466944135713,Low
PAGE_0181,3296,968,625,12351,80172,48.12,0.2216,0.607,0.661,633,0.344,0.5429391201595315,Medium
PAGE_0182,2178,71,879,45999,3658,22.8,0.1336,0.387,0.333,240,0.976,0.44175571280003806,Medium
PAGE_0183,3742,54,279,19593,75408,24.96,0.1959,0.323,0.338,626,0.641,0.2578447339448345,Low
PAGE_0184,1040,1092,470,20566,50213,18.23,0.1449,0.204,0.337,708,0.574,0.5154938460953765,Medium
PAGE_0185,1559,160,562,30306,53099,45.57,0.1426,0.533,0.68,221,0.988,0.44432128677955973,Medium
PAGE_0186,3072,1282,225,45575,55978,28.88,0.0375,0.597,0.284,213,0.646,0.47585183839665113,Medium
PAGE_0187,1683,137,719,19724,36443,38.35,0.0403,0.405,0.101,915,0.729,0.4380594151618697,Medium
PAGE_0188,2222,201,548,26664,58319,40.78,0.1371,0.504,0.672,591,0.466,0.4535297469658969,Medium
PAGE_0189,3814,1488,99,22512,35286,17.75,0.0745,0.409,0.237,774,0.506,0.4641566192633008,Medium
PAGE_0190,3657,131,668,28090,37066,22.25,0.015,0.645,0.184,134,0.676,0.43884278726624365,Medium
PAGE_0191,2319,895,428,35617,33869,42.58,0.1835,0.866,0.29,817,0.256,0.4287868957154784,Medium
PAGE_0192,3125,553,701,13256,53318,18.8,0.0178,0.239,0.404,753,0.405,0.6382566475437148,Medium
PAGE_0193,3229,304,789,23164,19329,39.9,0.1529,0.424,0.481,385,0.357,0.5265893999462261,Medium
PAGE_0194,3104,1097,232,25811,75309,47.11,0.1394,0.22,0.136,302,0.213,0.5058363939925764,Medium
PAGE_0195,2097,846,177,30206,27977,31.54,0.2425,0.631,0.876,781,0.63,0.38336516732277165,Medium
PAGE_0196,3560,986,501,16689,58101,37.34,0.1262,0.72,0.673,286,0.649,0.4976747191252011,Medium
PAGE_0197,3193,1070,684,23836,97237,40.45,0.0253,0.892,0.359,561,0.507,0.543825975101259,Medium
PAGE_0198,1295,359,228,21075,38184,42.41,0.1424,0.337,0.355,188,0.415,0.3785291949617141,Medium
PAGE_0199,1551,41,455,36318,81880,20.36,0.2119,0.908,0.459,296,0.722,0.22463036738586703,Low
PAGE_0200,2143,1371,695,7314,92992,3.51,0.2492,0.154,0.601,525,0.308,0.6757767592613015,High
PAGE_0201,1863,245,521,30681,16906,20.69,0.1133,0.613,0.217,388,0.615,0.38799752155818484,Medium
PAGE_0202,2481,368,171,20295,88735,34.01,0.0869,0.149,0.251,458,0.814,0.3789406821121218,Medium
PAGE_0203,1854,690,342,44682,37134,23.07,0.2276,0.86,0.788,743,0.331,0.4792579563257976,Medium
PAGE_0204,2163,1134,194,27227,40417,37.7,0.0559,0.55,0.305,260,0.803,0.42580025181277836,Medium
PAGE_0205,2029,403,343,5241,55568,18.49,0.1577,0.669,0.404,703,0.809,0.3577988600131544,Medium
PAGE_0206,2538,1005,50,28984,19194,32.1,0.1074,0.807,0.797,924,0.248,0.484170205876478,Medium
PAGE_0207,3919,739,111,24985,57896,10.13,0.0199,0.228,0.631,714,0.215,0.594174940548208,Medium
PAGE_0208,1996,1253,610,2808,10689,37.72,0.0933,0.133,0.373,772,0.979,0.6059263091660457,Medium
PAGE_0209,3802,495,160,18475,57321,27.74,0.0737,0.847,0.647,112,0.355,0.4097594594247972,Medium
PAGE_0210,2737,1142,628,15188,1757,11.0,0.1747,0.368,0.116,885,0.858,0.43880128707701366,Medium
PAGE_0211,3796,1321,759,44702,98400,15.3,0.2377,0.21,0.689,863,0.649,0.5999267250692498,Medium
PAGE_0212,1908,518,334,45146,39631,37.68,0.0743,0.498,0.49,35,0.412,0.4225203743778819,Medium
PAGE_0213,1900,76,400,10114,52327,24.65,0.2048,0.609,0.751,78,0.304,0.4200461069418608,Medium
PAGE_0214,1806,1341,886,3373,3264,11.59,0.0233,0.126,0.864,274,0.597,0.8503410776886925,High
PAGE_0215,3180,807,882,47235,93178,48.4,0.1391,0.334,0.841,959,0.526,0.7147995166827714,High
PAGE_0216,3175,1069,413,37406,84073,36.04,0.0269,0.128,0.827,277,0.759,0.6716189783831724,High
PAGE_0217,1472,740,474,30981,41347,47.9,0.2342,0.457,0.51,673,0.923,0.4026367424227908,Medium
PAGE_0218,2268,430,454,31586,19701,21.93,0.1939,0.861,0.388,311,0.844,0.29188583154614156,Low
PAGE_0219,1782,1010,190,12641,94066,24.28,0.1679,0.935,0.472,528,0.42,0.40764526551337027,Medium
PAGE_0220,3930,1139,207,8812,50699,45.0,0.2077,0.641,0.652,203,0.903,0.4221344546764643,Medium
PAGE_0221,1209,279,658,9268,71645,26.73,0.1654,0.237,0.807,984,0.867,0.4950763887279815,Medium
PAGE_0222,1979,420,737,3651,4652,35.66,0.2425,0.87,0.266,951,0.943,0.2765908310426153,Low
PAGE_0223,1934,364,519,12397,9517,13.36,0.1813,0.539,0.835,16,0.567,0.4578298796298211,Medium
PAGE_0224,1148,658,356,43833,58679,22.89,0.2319,0.231,0.752,713,0.815,0.4561603525414495,Medium
PAGE_0225,817,166,627,27228,68307,7.05,0.1341,0.883,0.883,475,0.673,0.4153187644783917,Medium
PAGE_0226,3796,912,318,2932,72155,11.09,0.0381,0.744,0.804,510,0.448,0.5878786564518012,Medium
PAGE_0227,1757,717,622,28583,78370,1.05,0.1368,0.722,0.324,209,0.996,0.4499001583729431,Medium
PAGE_0228,1183,856,693,22163,3822,2.92,0.0404,0.703,0.185,498,0.231,0.6085871973782875,Medium
PAGE_0229,1163,756,602,23063,70542,48.89,0.1522,0.27,0.19,401,0.33,0.5541718548740402,Medium
PAGE_0230,2498,623,602,13522,95732,12.88,0.1258,0.279,0.333,428,0.914,0.4727934122761696,Medium
PAGE_0231,3945,1276,383,33020,40131,33.5,0.1594,0.685,0.591,991,0.248,0.5349983599369791,Medium
PAGE_0232,2131,1019,57,11256,79335,42.12,0.0124,0.287,0.743,77,0.909,0.4971158743522409,Medium
PAGE_0233,1995,401,72,11208,21538,27.98,0.0568,0.473,0.819,567,0.772,0.3951579949621819,Medium
PAGE_0234,3804,964,710,31945,58919,8.5,0.1279,0.765,0.599,79,0.229,0.616963073176568,Medium
PAGE_0235,1636,1024,452,2900,43956,36.68,0.2381,0.766,0.105,305,0.543,0.35183389115916563,Medium
PAGE_0236,2353,431,627,38178,33676,30.41,0.1021,0.485,0.249,57,0.804,0.42867022824243894,Medium
PAGE_0237,2020,1496,206,42812,42038,36.83,0.1118,0.773,0.18,529,0.666,0.45187413736403037,Medium
PAGE_0238,2989,644,558,2710,49128,38.72,0.1815,0.813,0.391,207,0.949,0.32010402801890964,Low
PAGE_0239,1063,1326,639,12167,59907,48.8,0.1549,0.657,0.501,510,0.894,0.5033022860111601,Medium
PAGE_0240,1791,1212,523,33972,49977,29.1,0.0817,0.294,0.135,976,0.466,0.5947387062710993,Medium
PAGE_0241,3957,1205,227,10828,97883,17.74,0.1086,0.333,0.379,134,0.268,0.5539254950378311,Medium
PAGE_0242,3958,1024,639,29666,43561,32.77,0.0622,0.368,0.243,843,0.955,0.5232898023866055,Medium
PAGE_0243,3684,649,606,29883,93574,4.35,0.2418,0.199,0.618,993,0.614,0.4658903495110983,Medium
